idx,soil,Peff_mm,area_ratio,area_ratio_pct,LID_depth_m,tp_min_min,eta_p_pct,DetTime_h,Delta_tp_h,max_ponding_m,NPV_per_m2_catch
19530,"Sandy Loam",12.7,0.075,7.500,0.8,60,75.22833637852005,47,1.4166666666666667,0.05647078855544836,25.545198607261405
19534,"Sandy Loam",12.7,0.075,7.500,0.9,60,81.21181575539997,47,2,0.05233624487464744,27.120198607261408
19537,"Sandy Loam",12.7,0.075,7.500,1,60,86.70893049640122,47,3,0.0699926017621951,28.695198607261403
19541,"Sandy Loam",12.7,0.075,7.500,1.1,60,89.25786211006304,47,3.9166666666666665,0.06551781271547356,30.270198607261406
19547,"Sandy Loam",12.7,0.075,7.500,1.2,60,91.0993966168526,47,5,0.06199616031451165,31.845198607261402
19552,"Sandy Loam",12.7,0.1,10.000,0.6,60,66.54059721085453,47,1.1666666666666667,0.032432522846869385,29.860264809681876
19556,"Sandy Loam",12.7,0.1,10.000,0.7,60,76.04456328131921,47,1.75,0.029300057626523726,31.960264809681874
19562,"Sandy Loam",12.7,0.1,10.000,0.8,60,83.39764158767166,47,2.6666666666666665,0.04068589500557894,34.060264809681875
19568,"Sandy Loam",12.7,0.1,10.000,0.9,60,87.1333260145876,47,3.5833333333333335,0.03733718184762236,36.16026480968188
19576,"Sandy Loam",12.7,0.1,10.000,1,60,86.9130056640872,47,4,0.04861111916661662,38.26026480968187
19586,"Sandy Loam",12.7,0.1,10.000,1.1,60,90.55340849928206,47,5.666666666666667,0.04531464017644332,40.36026480968188
19596,"Sandy Loam",12.7,0.1,10.000,1.2,60,93.01111940581373,47,8,0.05604992068744705,42.460264809681874
19606,"Sandy Loam",12.7,0.15,15.000,0.4,60,53.25100702249876,47,0.9166666666666666,0.016919180035980336,38.490397214522815
19611,"Sandy Loam",12.7,0.15,15.000,0.5,60,69.93447057726726,47,1.5833333333333333,0.022328506744143432,41.64039721452281
19616,"Sandy Loam",12.7,0.15,15.000,0.6,60,79.27556731547868,47,2.4166666666666665,0.017994910773640647,44.79039721452281
19626,"Sandy Loam",12.7,0.15,15.000,0.7,60,85.10317865020198,47,3.5833333333333335,0.02271887337255951,47.940397214522804
19636,"Sandy Loam",12.7,0.15,15.000,0.8,60,88.58214549827919,47,5,0.027214982638039655,51.09039721452281
19652,"Sandy Loam",12.7,0.15,15.000,0.9,60,90.77764199255786,47,6.666666666666667,0.031411101905868405,54.240397214522815
19666,"Sandy Loam",12.7,0.15,15.000,1,60,92.32818137119503,47,8.583333333333334,0.02729643382763188,57.39039721452281
19682,"Sandy Loam",12.7,0.15,15.000,1.1,60,93.41089503483835,47,10.75,0.030624333399713106,60.54039721452281
19699,"Sandy Loam",12.7,0.15,15.000,1.2,60,94.1260342141337,47,12.916666666666666,0.0333735764739147,63.690397214522804
19716,"Sandy Loam",12.7,0.3,30.000,0.2,60,42.653448988077415,47,0.75,0,64.38079442904562
19723,"Sandy Loam",12.7,0.3,30.000,0.3,60,67.17370325290621,47,1.5833333333333333,0,70.68079442904562
19735,"Sandy Loam",12.7,0.3,30.000,0.4,60,80.01101709279601,47,2.8333333333333335,0,76.98079442904563
19753,"Sandy Loam",12.7,0.3,30.000,0.5,60,86.33391936169382,47,4.583333333333333,0,83.28079442904561
19773,"Sandy Loam",12.7,0.3,30.000,0.6,60,89.71409220661616,47,6.833333333333333,0,89.58079442904562
19797,"Sandy Loam",12.7,0.3,30.000,0.7,60,91.71650699009106,47,9.5,0,95.88079442904561
19824,"Sandy Loam",12.7,0.3,30.000,0.8,60,93.00876549314486,47,12.5,0,102.18079442904562
19853,"Sandy Loam",12.7,0.3,30.000,0.9,60,93.90045432951645,47,15.833333333333334,0,108.48079442904563
19881,"Sandy Loam",12.7,0.3,30.000,1,60,94.54814641773993,47,19.416666666666668,0,114.78079442904561
19909,"Sandy Loam",12.7,0.3,30.000,1.1,60,95.03794976294097,47,23.25,0,121.08079442904562
19938,"Sandy Loam",12.7,0.3,30.000,1.2,60,95.42036857426211,47,27.25,0,127.38079442904561
19967,"Sandy Loam",12.7,0.5,50.000,0.2,60,65.90455766297275,47,1.5,0,107.30132404840937
19981,"Sandy Loam",12.7,0.5,50.000,0.3,60,81.45718613947341,47,3.1666666666666665,0,117.80132404840937
20006,"Sandy Loam",12.7,0.5,50.000,0.4,60,87.76279604990268,47,5.5,0,128.30132404840936
20034,"Sandy Loam",12.7,0.5,50.000,0.5,60,90.74222323231928,47,8.583333333333334,0,138.80132404840936
20064,"Sandy Loam",12.7,0.5,50.000,0.6,60,92.39702503370061,47,12.166666666666666,0,149.30132404840936
20094,"Sandy Loam",12.7,0.5,50.000,0.7,60,93.4301510203609,47,16.166666666666668,0,159.80132404840936
20124,"Sandy Loam",12.7,0.5,50.000,0.8,60,94.13074804292023,47,20.5,0,170.30132404840936
20154,"Sandy Loam",12.7,0.5,50.000,0.9,60,94.63516459587352,47,25.083333333333332,0,180.80132404840936
20184,"Sandy Loam",12.7,0.5,50.000,1,60,95.01508728940209,47,29.916666666666668,0,191.30132404840936
20214,"Sandy Loam",12.7,0.5,50.000,1.1,60,95.31137376131493,47,34.916666666666664,0,201.80132404840936
20244,"Sandy Loam",12.7,0.5,50.000,1.2,60,95.54893849771902,47,40.166666666666664,0,212.30132404840936
