date,Rainfall
2023-04-06 02:10:00-06:00,3.3
2023-04-06 02:15:00-06:00,1.52
2023-04-06 02:20:00-06:00,0.25
2023-04-06 02:25:00-06:00,0.25
2023-04-06 03:20:00-06:00,0.25
2023-04-06 06:15:00-06:00,2.29
2023-04-06 06:20:00-06:00,2.79
2023-04-06 06:25:00-06:00,1.52
2023-04-06 06:30:00-06:00,0.51
2023-04-06 06:35:00-06:00,0.25
2023-04-06 06:40:00-06:00,0.25
2023-04-06 06:45:00-06:00,0.25
2023-04-06 06:50:00-06:00,0.25
2023-04-06 07:15:00-06:00,0.25
2023-04-06 07:20:00-06:00,0.25
2023-04-06 07:25:00-06:00,5.08
2023-04-06 07:30:00-06:00,1.52
2023-04-06 07:40:00-06:00,0.25
2023-04-06 07:45:00-06:00,0.25
2023-04-06 07:50:00-06:00,2.03
2023-04-06 07:55:00-06:00,1.52
2023-04-06 08:05:00-06:00,0.25
2023-04-06 08:20:00-06:00,0.25
2023-04-06 08:25:00-06:00,0.25
2023-04-06 08:40:00-06:00,0.76
2023-04-06 08:45:00-06:00,1.02
2023-04-06 08:50:00-06:00,0.51
2023-04-06 08:55:00-06:00,0.25
2023-04-06 09:00:00-06:00,0.25
2023-04-06 09:05:00-06:00,0.25
2023-04-06 09:40:00-06:00,0.25
2023-04-06 09:45:00-06:00,0.51
2023-04-06 09:50:00-06:00,1.27
2023-04-06 09:55:00-06:00,3.56
2023-04-06 10:00:00-06:00,1.27
2023-04-06 10:05:00-06:00,3.56
2023-04-06 10:10:00-06:00,3.56
2023-04-06 10:15:00-06:00,3.56
2023-04-06 10:20:00-06:00,2.54
2023-04-06 10:25:00-06:00,2.03
2023-04-06 10:30:00-06:00,1.52
2023-04-06 10:35:00-06:00,0.51
2023-04-06 10:40:00-06:00,0.25
2023-04-06 11:40:00-06:00,0.25
2023-04-06 11:50:00-06:00,0.25
2023-04-06 13:50:00-06:00,0.25
2023-04-07 00:25:00-06:00,0.25
2023-04-07 00:30:00-06:00,0.25
2023-04-07 00:35:00-06:00,0.25
2023-04-07 00:40:00-06:00,0.25
2023-04-07 00:45:00-06:00,0.25
2023-04-07 00:55:00-06:00,0.25
2023-04-07 01:00:00-06:00,0.25
2023-04-07 01:10:00-06:00,0.51
2023-04-07 01:15:00-06:00,0.51
2023-04-07 01:20:00-06:00,0.25
2023-04-07 01:30:00-06:00,0.25
2023-04-07 03:40:00-06:00,0.25
2023-04-07 03:50:00-06:00,0.25
2023-04-07 08:20:00-06:00,0.25
2023-04-07 09:25:00-06:00,0.25
2023-04-07 09:55:00-06:00,0.25
2023-04-07 13:45:00-06:00,1.27
2023-04-07 13:50:00-06:00,0.51
2023-04-07 13:55:00-06:00,0.51
2023-04-07 14:00:00-06:00,0.51
2023-04-07 14:05:00-06:00,0.51
2023-04-07 14:10:00-06:00,0.51
2023-04-07 14:15:00-06:00,0.25
2023-04-07 14:20:00-06:00,0.25
2023-04-07 14:30:00-06:00,1.02
2023-04-07 14:35:00-06:00,0.51
2023-04-07 14:50:00-06:00,0.25
2023-04-07 15:45:00-06:00,0.25
2023-04-07 15:50:00-06:00,0.76
2023-04-07 15:55:00-06:00,0.25
2023-04-07 16:05:00-06:00,0.25
2023-04-07 16:50:00-06:00,0.25
2023-04-15 01:15:00-06:00,0.25
2023-04-15 01:20:00-06:00,0.25
2023-04-15 01:30:00-06:00,0.25
2023-04-15 01:40:00-06:00,0.25
2023-04-15 01:45:00-06:00,0.25
2023-04-15 01:50:00-06:00,0.25
2023-04-15 01:55:00-06:00,0.51
2023-04-15 02:00:00-06:00,0.25
2023-04-19 10:40:00-06:00,0.25
2023-04-20 18:55:00-06:00,0.51
2023-04-20 19:00:00-06:00,0.51
2023-04-20 19:05:00-06:00,0.76
2023-04-20 19:10:00-06:00,0.76
2023-04-20 19:15:00-06:00,1.78
2023-04-20 19:20:00-06:00,1.02
2023-04-20 19:25:00-06:00,0.25
2023-04-20 19:30:00-06:00,0.25
2023-04-20 23:25:00-06:00,1.78
2023-04-20 23:30:00-06:00,1.78
2023-04-20 23:35:00-06:00,1.27
2023-04-20 23:40:00-06:00,2.29
2023-04-20 23:45:00-06:00,0.76
2023-04-21 00:15:00-06:00,0.25
2023-04-21 00:20:00-06:00,1.02
2023-04-21 00:25:00-06:00,0.25
2023-04-21 00:30:00-06:00,0.51
2023-04-21 00:35:00-06:00,0.51
2023-04-21 00:40:00-06:00,1.02
2023-04-21 00:45:00-06:00,1.02
2023-04-21 00:50:00-06:00,0.76
2023-04-21 00:55:00-06:00,0.25
2023-04-21 01:00:00-06:00,1.02
2023-04-21 01:05:00-06:00,0.51
2023-04-23 05:15:00-06:00,0.25
2023-04-23 05:30:00-06:00,0.25
2023-04-23 05:55:00-06:00,0.25
2023-04-23 06:05:00-06:00,0.25
2023-04-23 06:15:00-06:00,0.25
2023-04-23 06:25:00-06:00,0.51
2023-04-23 06:30:00-06:00,0.25
2023-04-23 06:45:00-06:00,0.25
2023-04-23 07:25:00-06:00,0.25
2023-04-23 07:40:00-06:00,0.25
2023-04-25 13:30:00-06:00,0.25
2023-04-25 20:25:00-06:00,0.25
2023-04-25 20:35:00-06:00,0.25
2023-04-26 18:10:00-06:00,0.25
2023-04-27 01:35:00-06:00,0.25
2023-04-27 02:00:00-06:00,0.25
2023-04-27 02:15:00-06:00,0.25
2023-04-27 02:25:00-06:00,0.25
2023-04-27 02:45:00-06:00,0.25
2023-04-28 18:25:00-06:00,1.27
2023-04-28 18:30:00-06:00,3.81
2023-04-28 18:35:00-06:00,1.02
2023-04-28 18:40:00-06:00,0.25
2023-04-28 18:45:00-06:00,0.51
2023-04-28 18:50:00-06:00,0.76
2023-04-28 18:55:00-06:00,0.25
2023-04-28 19:00:00-06:00,0.25
2023-04-28 19:05:00-06:00,0.25
2023-04-28 19:15:00-06:00,0.25
2023-05-07 09:10:00-06:00,0.25
2023-05-07 09:25:00-06:00,0.25
2023-05-07 09:50:00-06:00,0.25
2023-05-07 12:40:00-06:00,0.25
2023-05-07 12:50:00-06:00,0.25
2023-05-09 03:10:00-06:00,0.25
2023-05-09 10:45:00-06:00,0.25
2023-05-09 11:05:00-06:00,0.25
2023-05-09 11:20:00-06:00,0.25
2023-05-09 11:35:00-06:00,0.25
2023-05-09 12:50:00-06:00,0.25
2023-05-09 13:20:00-06:00,0.25
2023-05-09 15:10:00-06:00,0.25
2023-05-09 15:20:00-06:00,0.25
2023-05-09 15:25:00-06:00,0.25
2023-05-09 15:40:00-06:00,0.25
2023-05-09 16:25:00-06:00,0.25
2023-05-09 16:40:00-06:00,0.25
2023-05-09 16:45:00-06:00,0.25
2023-05-09 16:50:00-06:00,0.25
2023-05-09 17:00:00-06:00,0.25
2023-05-09 17:05:00-06:00,0.25
2023-05-09 17:15:00-06:00,0.51
2023-05-09 17:20:00-06:00,0.25
2023-05-09 17:25:00-06:00,0.25
2023-05-09 17:40:00-06:00,0.25
2023-05-09 17:45:00-06:00,0.25
2023-05-09 17:55:00-06:00,0.25
2023-05-09 18:00:00-06:00,0.25
2023-05-09 18:05:00-06:00,0.25
2023-05-09 18:10:00-06:00,0.51
2023-05-09 18:15:00-06:00,0.25
2023-05-09 18:20:00-06:00,0.51
2023-05-09 18:25:00-06:00,0.25
2023-05-09 18:30:00-06:00,0.25
2023-05-10 01:45:00-06:00,0.25
2023-05-13 01:10:00-06:00,2.29
2023-05-13 01:15:00-06:00,4.83
2023-05-13 01:20:00-06:00,8.38
2023-05-13 01:25:00-06:00,11.94
2023-05-13 01:30:00-06:00,10.41
2023-05-13 01:35:00-06:00,8.13
2023-05-13 01:40:00-06:00,4.06
2023-05-13 01:45:00-06:00,3.81
2023-05-13 01:50:00-06:00,3.56
2023-05-13 01:55:00-06:00,4.32
2023-05-13 02:00:00-06:00,6.6
2023-05-13 02:05:00-06:00,3.56
2023-05-13 02:10:00-06:00,1.78
2023-05-13 02:15:00-06:00,1.78
2023-05-13 02:20:00-06:00,1.02
